nome_agenzia,zona,indirizzo,telefono,email,sito_web,persona_contatto,stato,data_ultimo_contatto,note
Interim - Immobili di Pregio,Centro,Via dell'Indipendenza 63,051 241224,info@interimimmobilidipregio.it,https://interimimmobilidipregio.it/,Esmeralda,contattata,2026-09-06,"Agente Esmeralda, contatto WhatsApp +39 3290310425. Referenziato anche Angelo Manzione."
Abitare Bologna,Santo Stefano,Via S. Stefano 35/E,051 6569000,info@abitarebologna.it,https://www.abitarebologna.it/,,da contattare,,"Nessun agente specifico indicato sul sito; presenti solo testimonianze clienti. PEC: abitarebolognaduesrl@pec.it. Pin Google Maps condiviso puntava a zona Via de' Chiari/Quadrilatero, Centro - verificare se sede secondaria."
Mondore,Centro,"Via Castiglione, 12A, 40124",051 269414,agenzia.castiglione@mondore.it,https://www.mondore.it/,,da contattare,,"Sede principale Centro (Quadrilatero). Altre sedi: San Lazzaro di Savena - Via Emilia 173B (051 728890, info@mondore.it) e sede direzionale Via Aldo Moro 4/A (051 0304250, direzionale@mondore.it). PEC: mondore@pec.it. Nessun agente specifico indicato."
Toscano - Agenzia Immobiliare Centro Bologna,Centro,Piazza di Porta Maggiore 4/A,051 239200,,https://www.toscano.it/comune-bologna/agenzia-immobiliare-centro-bologna,Francesco Pizzolla (Sales Manager),da contattare,,"WhatsApp +39 345 633 0777. Team: Marco Maselli, Aron Romano, Lorenzo Benassi (Account Senior); Elisa Cricchio (Account); Francesca Nanni, Gaia Pizzamei (Assistant); Eliane Camagni (Mutui). Orari: Lun-Ven 9:00-19:30, Sab 9:00-13:00."
Iconacasa Bologna Mazzini,Mazzini,Via Mazzini 63C,+39 393 7772333,bolognamazzini@iconacasa.com,https://www.iconacasa.com/index.php/agenzie/companyproperties/69-iconacasa-bologna-mazzini,,da contattare,,Trovata tramite ricerca web (zona Mazzini).
Tempocasa Bologna Mazzini,Mazzini,Via Mazzini 107/D,,,https://tempocasa.it/it/agenzie-immobiliari/bologna/bologna/201-bologna-mazzini,,da contattare,,"Trovata tramite ricerca web. Telefono non recuperato dal sito (verificare telefonando o via sito), virtual tour Matterport disponibile."
Gabetti Bologna Mazzini,Mazzini,Via Augusto Murri 20,,,https://www.casa.it/agenzie/agenzia-immobiliare-gabetti-bologna-mazzini-1052181/,,da contattare,,Trovata tramite ricerca web (zona Mazzini). 22 annunci in vendita/affitto.
Dalmonte,Mazzini,Via Mazzini 158/b,,,https://www.immobiliare.it/en/agenzie-immobiliari/232241/dalmonte-bologna-mazzini/,,da contattare,,Trovata tramite ricerca web (zona Mazzini). Oltre 20 anni di attivita'.
Grimaldi Immobiliare Bologna Mazzini,Mazzini,Via Giuseppe Mazzini 150,,,https://www.immobiliare.it/en/agenzie-immobiliari/156822/grimaldi-point-bologna-mazzini/,,da contattare,,Trovata tramite ricerca web (zona Mazzini). Offre anche mutui e certificazioni energetiche.
Gabetti Bologna Savena,Savena,Via Firenze 6/d,3338211270,bolognasavena@gabetti.it,https://www.gabetti.it/agenzia/bologna-savena,,da contattare,,"Ragione sociale: Due Torri Immobiliare Srls. Trovata tramite ricerca web (zona Savena)."
